
1, A social event is often better than an interesting book or a video game
2, You feel more energetic after spending time with a group of people
3, You do not mind being the center of attention
4, You often spend time exploring unrealistic and impractical yet intriguing ideas
5, Generally speaking, you rely more on your imagination than your experience
6, You consider yourself more practical than creative
7, Logic is usually more important than heart when it comes to making decisions
8, If you have a business, you do not find it very difficult to fire loyal but underperforming employees
9, You believe that it is more rewarding to be powerful than being liked
10, Your travel plans are usually well thought out
11, Being able to develop a plan and stick to it is the most important part of every project
12, You are more of a careful planner than
