,,,,,,
1,A social event is often better than an interesting book or a video game,E,I,,,
2,You feel more energetic after spending time with a group of people,E,I,,,
3,You do not mind being the center of attention,E,I,,,
4,You often spend time exploring unrealistic and impractical yet intriguing ideas,N,S,,,
5,"Generally speaking, you rely more on your imagination than your experience",N,S,,,
6,You consider yourself more practical than creative,N,S,,,
7,Logic is usually more important than heart when it comes to making decisions,T,F,,,
8,"If you have a business, you do not find it very difficult to fire loyal but underperforming employees",T,F,,,
9,You believe that it is more rewarding to be powerful than being liked,T,F,,,
10,Your travel plans are usually well thought out,J,P,,,
11,Being able to develop a plan and stick to it is the most important part of every project,J,P,,,
12,You are more of a careful planner than,,,,,
